time,id,from,at,to,open,close,low,high,volume
2025-10-14 06:31:00,2971909,1760423460,1760423520000000000,1760423520,0.908865,0.90891,0.908835,0.90899,357
2025-10-14 06:32:00,2971910,1760423520,1760423580000000000,1760423580,0.908905,0.908935,0.908875,0.909,351
2025-10-14 06:33:00,2971911,1760423580,1760423640000000000,1760423640,0.90893,0.908915,0.90882,0.90893,280
2025-10-14 06:34:00,2971912,1760423640,1760423700000000000,1760423700,0.908925,0.908895,0.908875,0.909,326
2025-10-14 06:35:00,2971913,1760423700,1760423760000000000,1760423760,0.908885,0.908935,0.90886,0.90903,292
2025-10-14 06:36:00,2971914,1760423760,1760423820000000000,1760423820,0.90895,0.908625,0.908625,0.90895,353
2025-10-14 06:37:00,2971915,1760423820,1760423880000000000,1760423880,0.90863,0.9086,0.908565,0.90865,279
2025-10-14 06:38:00,2971916,1760423880,1760423940000000000,1760423940,0.90859,0.908465,0.90842,0.9086,264
2025-10-14 06:39:00,2971917,1760423940,1760424000000000000,1760424000,0.90847,0.908405,0.90837,0.908535,172
2025-10-14 06:40:00,2971918,1760424000,1760424060000000000,1760424060,0.90841,0.90846,0.90837,0.90851,349
2025-10-14 06:41:00,2971919,1760424060,1760424120000000000,1760424120,0.908455,0.90848,0.90833,0.90848,357
2025-10-14 06:42:00,2971920,1760424120,1760424180000000000,1760424180,0.90847,0.90839,0.908315,0.908485,175
2025-10-14 06:43:00,2971921,1760424180,1760424240000000000,1760424240,0.908395,0.908495,0.908295,0.90852,216
2025-10-14 06:44:00,2971922,1760424240,1760424300000000000,1760424300,0.9085,0.90851,0.908435,0.90853,229
2025-10-14 06:45:00,2971923,1760424300,1760424360000000000,1760424360,0.90852,0.908555,0.908485,0.90867,247
2025-10-14 06:46:00,2971924,1760424360,1760424420000000000,1760424420,0.90855,0.90861,0.9085,0.90862,263
2025-10-14 06:47:00,2971925,1760424420,1760424480000000000,1760424480,0.908595,0.9084,0.908395,0.90861,234
2025-10-14 06:48:00,2971926,1760424480,1760424540000000000,1760424540,0.908395,0.908445,0.908255,0.90845,231
